track_id,genre_id
000010,4
000141,6
000190,8
000193,7
000194,7
000210,5
000211,8
000213,4
000400,4
000425,7
000534,6
000536,7
000540,5
000546,4
000602,6
000605,1
000619,2
000620,4
000664,4
000667,1
000673,8
000674,1
000679,4
000680,6
000695,6
000696,2
000704,2
000708,2
000709,7
000714,2
000715,1
000718,2
000820,8
000823,8
000854,8
000868,8
000890,3
000893,7
000998,6
001029,4
001069,5
001082,7
001083,4
001117,8
001130,5
001193,7
001199,6
001249,2
001259,1
001270,5
001277,3
001498,2
001534,6
001649,8
001652,8
001674,2
001680,1
001685,7
001686,5
001688,5
001689,5
001703,8
001704,4
001705,5
001734,5
001736,7
001739,5
001894,4
001926,4
002099,8
003264,8
003265,8
003266,6
003272,3
003273,5
003516,7
003533,4
003534,5
003535,2
003537,6
003538,3
003551,2
003568,6
003570,4
003572,6
003579,5
003606,7
003618,7
003681,7
003720,4
003727,8
003775,6
003778,4
003895,8
003896,3
003905,2
003912,7
003920,6
003921,6
003923,1
003939,2
003942,6
003944,5
003946,5
003957,6
003983,2
004017,1
004024,5
004029,3
004032,5
004033,6
004066,1
004068,6
004072,1
004075,5
004080,7
004091,7
004093,2
004094,3
004097,7
004098,2
004100,3
004101,3
004102,1
004105,3
004193,7
004233,2
004234,5
004235,1
004239,6
004298,4
004299,7
004333,7
004348,8
004409,3
004445,7
004507,7
004510,8
004519,2
004522,1
004686,7
004701,8
004707,6
004752,1
004755,8
004778,4
004799,4
004846,7
004848,1
005140,4
005157,2
005158,1
005169,6
005178,1
005196,5
005269,7
005342,8
005376,3
005377,5
005379,5
005381,8
005510,7
005531,8
005600,3
005879,2
005936,3
006274,3
006329,4
006331,8
006354,7
006358,1
006360,5
006363,5
006366,7
006368,5
006370,7
006373,1
006379,7
006380,8
006383,6
006387,3
006390,4
006393,2
006439,8
006443,4
006448,1
006461,3
006463,3
006464,3
006465,1
006466,5
006469,4
006519,1
006525,1
006528,6
006606,4
006607,1
006609,3
006610,3
006660,4
006663,6
006674,4
006684,3
006752,8
006758,6
006779,7
006782,5
006785,8
006787,7
006803,6
006855,5
006856,6
006859,8
007123,6
007192,3
007197,2
007198,1
007376,8
007379,2
007452,4
007460,3
007485,3
007489,2
007491,3
007527,8
007529,8
007545,8
007552,1
007709,2
007712,5
008215,1
008256,1
008257,8
008260,7
008269,7
008270,6
008329,6
008331,6
008357,3
008363,5
008372,8
008450,1
008452,5
008489,4
009490,8
009492,8
009721,8
009846,5
009851,5
009852,8
009918,6
009986,3
009987,1
009994,7
010046,7
010108,8
010111,1
010160,7
010165,2
010186,6
010190,1
010376,2
010381,6
010382,8
010383,2
010384,6
010385,8
010387,6
010389,7
010438,7
010440,7
010441,7
010443,5
010445,4
010447,5
010451,2
010482,4
010484,1
010535,4
010568,2
010575,1
010669,2
010671,6
010678,4
010680,5
010681,2
010682,7
010683,4
010685,7
010805,8
010806,5
010807,5
010809,1
010932,2
010942,5
010943,5
010952,6
010954,8
010992,4
011030,7
011198,1
011204,1
011234,6
011261,2
011306,2
011333,3
011389,8
011417,3
011420,3
011426,3
011429,1
011430,7
011431,8
011432,6
011505,3
011508,2
011541,6
011544,5
011671,4
011672,8
011673,3
011674,4
011675,7
011677,1
011681,5
011695,5
011763,4
011764,4
011768,2
011772,6
011779,3
011785,8
011786,3
011794,1
011796,8
011819,3
011824,6
011828,5
011829,6
011834,8
011837,8
011840,5
011859,1
011862,1
011865,2
011867,8
011881,5
011885,8
011891,8
011892,5
011893,8
011895,2
011897,1
011916,4
011919,8
011920,2
011937,3
011976,7
011988,5
012045,8
012046,4
012050,7
012052,5
012053,7
012058,4
