track_id,genre_id
10,3
141,1
190,2
193,4
194,4
210,2
211,3
213,5
400,5
425,3
534,3
536,3
540,1
546,3
602,7
605,4
619,1
620,6
664,6
667,6
673,3
674,7
679,1
680,2
695,1
696,8
704,6
708,7
709,6
714,1
715,1
718,7
820,4
823,2
854,7
868,1
890,7
893,1
998,8
1029,3
1069,5
1082,3
1083,4
1117,3
1130,2
1193,3
1199,5
1249,2
1259,8
1270,1
1277,4
1498,2
1534,2
1649,1
1652,7
1674,1
1680,7
1685,6
1686,1
1688,5
1689,7
1703,6
1704,3
1705,6
1734,4
1736,3
1739,2
1894,5
1926,3
2099,3
3264,4
3265,5
3266,4
3272,4
3273,1
3516,1
3533,1
3534,5
3535,2
3537,6
3538,2
3551,5
3568,1
3570,4
3572,1
3579,8
3606,2
3618,1
3681,3
3720,5
3727,6
3775,2
3778,1
3895,4
3896,7
3905,1
3912,3
3920,7
3921,2
3923,2
3939,5
3942,3
3944,1
3946,2
3957,7
3983,1
4017,1
4024,3
4029,8
4032,3
4033,8
4066,8
4068,4
4072,2
4075,2
4080,1
4091,8
4093,3
4094,2
4097,3
4098,4
4100,3
4101,2
4102,1
4105,7
4193,4
4233,5
4234,6
4235,4
4239,4
4298,1
4299,5
4333,2
4348,5
4409,2
4445,1
4507,1
4510,4
4519,3
4522,1
4686,6
4701,1
4707,5
4752,7
4755,2
4778,6
4799,3
4846,3
4848,2
5140,8
5157,7
5158,2
5169,1
5178,3
5196,2
5269,1
5342,5
5376,5
5377,1
5379,6
5381,8
5510,5
5531,6
5600,2
5879,3
5936,1
6274,5
6329,2
6331,5
6354,3
6358,7
6360,2
6363,7
6366,3
6368,2
6370,5
6373,6
6379,4
6380,2
6383,2
6387,8
6390,6
6393,8
6439,6
6443,4
6448,6
6461,8
6463,7
6464,1
6465,7
6466,1
6469,6
6519,4
6525,1
6528,2
6606,2
6607,1
6609,5
6610,3
6660,4
6663,1
6674,4
6684,1
6752,1
6758,1
6779,2
6782,4
6785,6
6787,6
6803,1
6855,2
6856,4
6859,3
7123,6
7192,2
7197,3
7198,8
7376,4
7379,3
7452,3
7460,5
7485,1
7489,3
7491,1
7527,3
7529,2
7545,6
7552,5
7709,2
7712,6
8215,2
8256,6
8257,4
8260,2
8269,7
8270,2
8329,2
8331,8
8357,1
8363,6
8372,3
8450,2
8452,3
8489,7
9490,5
9492,3
9721,4
9846,8
9851,7
9852,1
9918,6
9986,4
9987,5
9994,2
10046,2
10108,4
10111,6
10160,2
10165,2
10186,2
10190,3
10376,1
10381,1
10382,7
10383,4
10384,7
10385,6
10387,3
10389,4
10438,6
10440,1
10441,5
10443,7
10445,6
10447,6
10451,7
10482,5
10484,6
10535,5
10568,4
10575,8
10669,1
10671,5
10678,2
10680,2
10681,2
10682,8
10683,2
10685,2
10805,1
10806,3
10807,3
10809,4
10932,7
10942,3
10943,2
10952,1
10954,5
10992,4
11030,2
11198,2
11204,7
11234,5
11261,3
11306,3
11333,2
11389,2
11417,1
11420,2
11426,1
11429,2
11430,4
11431,1
11432,8
11505,3
11508,5
11541,6
11544,5
11671,2
11672,2
11673,2
11674,1
11675,3
11677,8
11681,5
11695,6
11763,2
11764,6
11768,3
11772,6
11779,2
11785,6
11786,2
11794,1
11796,2
11819,4
11824,2
11828,1
11829,8
11834,5
11837,3
11840,2
11859,4
11862,5
11865,1
11867,6
11881,4
11885,3
11891,1
11892,2
11893,2
11895,3
11897,1
11916,7
11919,1
11920,5
11937,2
11976,2
11988,4
12045,7
12046,1
12050,1
12052,3
12053,8
12058,8
12059,4
12067,2
12068,2
12109,2
12147,6
12174,5
12179,2
12195,1
12348,5
12352,3
12369,1
12375,2
12376,4
12387,4
12390,1
12394,7
12421,4
12423,2
12481,5
12482,2
12483,5
12485,8
12486,2
12490,6
12509,3
12510,2
12515,8
12516,8
12518,2
12530,3
12531,1
12532,2
12537,3
12588,6
12608,3
12654,2
12691,1
12692,6
12835,8
12926,1
12927,3
12985,2
12986,3
12990,4
13014,6
13125,5
13197,3
13207,1
13218,2
13220,1
13362,1
13366,2
13446,6
13451,6
13539,6
13540,1
13566,1
13576,2
13579,5
13598,6
13706,1
13709,3
13735,5
13767,1
13772,5
13814,6
13833,4
13835,1
13867,3
13879,7
13891,3
13929,4
14071,2
14077,6
14080,8
14085,6
14086,7
14088,3
14110,5
14316,1
14317,7
14318,4
14319,3
14341,5
14361,5
14386,6
14481,7
14542,2
14543,7
14601,2
14603,2
14604,1
14661,1
14677,7
14681,3
14684,4
14736,4
14744,5
14773,4
14776,2
14818,2
14867,5
15148,7
15157,2
15204,3
15209,2
15213,7
15261,4
15364,7
15439,6
15444,3
15493,6
15494,2
15497,3
15498,3
15609,6
15619,6
15863,6
15866,3
15870,1
15871,4
15880,3
15962,5
15989,5
16025,7
16095,5
16155,2
16158,3
16162,1
16163,8
16288,4
16289,2
16339,5
16692,5
16699,3
16744,1
16747,5
16848,2
16937,7
16943,5
17003,4
17130,2
17131,2
17345,7
17422,3
17463,3
17492,3
17494,5
17495,3
17496,6
17499,1
17605,1
17631,2
17634,1
17657,1
17734,2
17781,3
17906,6
18033,7
18034,4
18039,1
18041,3
18043,3
18112,1
18145,1
18146,6
18159,2
18198,8
18217,7
18226,1
18346,5
18350,7
18589,1
18611,7
18636,6
18787,1
18876,8
18877,3
19074,5
19187,3
19266,7
19272,5
19330,8
19331,1
19333,8
19412,2
19413,7
19415,4
19416,7
19417,1
19418,3
19419,8
19421,2
19439,3
19441,6
