track_id,genre_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2,4,21.582119,2.86828,-2.444991,3.165775,-1.329862,0.081422,0.077708,0.226855,-0.487168,-0.481145,0.449227,-0.174578,-0.37984,0.28186,-0.234733,0.874554,0.312128,0.320596,0.284292,-0.033012,-0.327816,-0.181274
3,4,17.205398,4.178489,1.17698,2.444814,-0.800056,-0.117226,0.69058,2.067973,0.71715,-0.805882,-1.115845,-1.047406,-1.016533,-0.357708,-0.031445,-1.335276,-0.711266,0.136403,-0.172528,-0.19474,0.430431,0.041583
140,3,24.464491,2.051223,-2.325158,1.99323,-0.021729,1.708282,0.832782,-0.511422,0.888254,-1.294516,-0.067763,0.302837,0.028452,1.371886,-0.056132,-0.045675,-0.096927,-0.374614,-0.490799,-0.246842,-1.333504,-0.260642
148,6,20.990793,1.595045,1.033786,1.808194,1.807238,-0.465396,1.074507,0.488396,-1.155249,-1.255867,0.467809,0.261285,-0.371975,1.211554,-0.147846,-0.306143,-1.495777,0.269375,-1.619872,-0.575727,-0.325538,-0.702753
198,3,14.954931,3.985339,-1.11868,1.072837,0.986904,0.422049,1.643106,-2.142148,0.752738,0.068068,-1.133905,-0.792538,-0.794326,0.426153,-1.352084,-0.568202,0.021817,1.375747,1.068262,0.669742,-0.447669,-0.157869
203,3,21.908342,2.081279,0.529278,-0.136693,3.346884,-0.867408,1.125556,0.22378,0.342112,-1.341162,-0.939213,0.243969,0.079886,-1.21418,-0.026244,-0.394871,-1.233345,0.429434,0.302008,-0.24826,-0.272999,0.051468
204,3,25.016661,1.780044,3.598494,1.302996,-1.032603,0.239533,-1.004601,-0.086619,-0.771032,-0.380818,0.001275,-0.238481,-0.299672,-0.312363,-0.84866,-0.531215,-0.66364,-0.225252,-0.12315,0.229655,0.500287,0.645866
207,3,23.308044,1.313778,-1.487959,1.811932,-0.11717,1.480898,0.464443,-1.235704,1.248693,-1.372276,-0.526855,0.223015,-0.893813,1.306036,-0.017918,-1.39448,0.659619,0.186324,-0.913013,0.928266,-0.407248,0.05721
212,3,22.055318,1.989494,2.770152,2.536533,1.106662,-0.561377,0.704952,0.062968,-0.468229,0.022502,-0.61222,-0.228607,-0.918281,-0.717861,-0.329455,-0.420854,-0.444923,-0.395633,-0.714661,-0.60732,-0.295239,-0.489107
535,3,16.465702,4.378527,-1.569284,1.395946,-1.13045,-1.028285,1.846604,-0.280958,-1.448707,0.630028,-1.711783,-0.101077,-0.708412,0.330843,0.872503,0.140103,1.35596,0.951257,0.064504,0.430929,-0.051818,0.012094
537,3,20.729311,1.577294,0.63938,0.509983,3.452736,-2.307978,0.428337,-0.414145,0.251126,0.127795,0.113798,-0.426089,-0.804004,-0.40292,-0.087374,-0.569729,-0.041365,-0.013546,0.256355,-0.210489,-0.444874,-0.056997
550,2,23.278256,1.448037,0.519562,-0.664986,1.854692,0.240628,0.171824,0.040477,-0.432603,-2.187978,0.888049,1.334046,1.317664,1.464175,-0.604634,0.001111,-0.338694,-1.336839,-0.709802,-1.20317,-0.342284,-0.011236
585,4,22.337804,1.021321,3.848426,-0.451138,0.480459,0.03925,-0.109267,0.609491,0.066921,0.530813,-0.057783,-0.192222,-0.143898,-0.065033,-0.298529,-0.319664,-1.41838,-0.944086,-0.348525,0.016733,-0.743114,-0.500455
621,3,18.428748,4.678512,-3.08128,2.089691,0.786556,-0.311147,0.134436,0.34309,-0.156196,0.152356,-0.710681,0.097555,-0.281243,-0.143575,-0.476136,0.547532,1.854558,-0.594692,0.261721,-0.482112,0.033773,-0.064205
625,3,23.070611,1.829978,0.638487,1.129968,1.367289,-0.258027,2.492049,-1.578702,-1.764196,-0.479896,-0.676629,-0.837214,-1.24805,0.7776,0.087648,0.015778,0.492694,0.608453,-0.267724,0.117125,-0.066778,-0.549876
629,3,22.167823,0.970624,-1.251667,3.333621,-1.128258,0.594404,0.167964,1.058156,-0.768607,0.525731,-0.903545,0.423276,0.112997,0.781698,-0.863391,0.004084,-0.266471,-0.270895,-0.863101,-0.613488,-0.187568,0.11506
631,3,25.889703,1.517149,0.042199,2.994203,-2.06043,0.993877,-1.232527,0.50719,-0.527079,0.187699,0.300804,-0.697479,0.574244,-0.643299,0.180419,-0.476319,0.599115,-0.869066,0.167514,0.303529,-0.819074,0.474479
666,5,20.105034,2.359671,3.061596,1.54337,-1.028651,0.480894,0.586062,0.354023,-0.125272,0.220798,0.788142,-0.111987,-0.030552,-0.121737,-0.758788,-0.811032,-1.6177,-0.960971,-0.421666,-0.578786,0.199957,-0.667699
684,4,20.026075,2.534809,-0.623104,2.631506,1.340869,0.569389,-2.107694,1.379539,0.105218,-0.41139,0.887099,0.732243,-0.11503,-0.367955,-0.010385,-0.308793,-0.459886,-0.618699,-0.934842,-0.728817,-0.401272,-0.557996
694,4,19.481187,2.241355,2.427136,2.224732,-0.774323,1.339669,-0.29186,0.229681,-0.334918,-0.556464,0.115587,0.85388,0.19715,-0.307996,-0.138875,-1.386683,-1.058669,0.07776,-0.166801,-0.571681,-1.206537,-0.670788
705,5,19.824871,3.263305,-1.068358,1.977703,0.168485,0.730186,0.678158,0.375175,-0.343308,0.170413,-0.71435,0.276207,-0.477017,0.157709,0.592538,1.290732,1.325577,0.370877,-0.790013,-1.803376,-2.073354,-0.843984
706,5,20.22945,1.727276,-0.690423,3.608424,-0.834774,-1.769297,0.043719,0.144837,-0.204187,0.243086,-0.370132,0.451983,-1.274247,-0.147661,-0.123937,0.277255,0.232917,0.392343,0.203816,-0.101697,0.282408,-0.364432
707,5,23.55675,0.765904,2.202546,0.92474,1.41382,-0.512847,-0.78525,-0.332249,0.695293,0.350791,-1.090045,0.303871,-0.470441,0.152619,0.677905,-0.047538,-0.545674,-0.695677,-1.165479,1.604154,-0.89011,-1.790426
717,3,21.430664,2.69002,0.65933,2.160608,-0.602795,0.826935,-0.110238,-0.883028,0.104553,0.334468,1.412575,1.389718,-0.509288,-1.247598,-1.799907,-1.725351,-0.406127,0.01472,0.712307,0.311542,-0.330595,-0.31183
819,6,23.002302,2.258053,-0.550557,3.411061,-0.850371,0.002257,-0.258538,-0.479856,0.024001,0.146457,0.138155,-0.336025,-1.234834,-1.200968,0.54487,-0.516562,0.989618,1.010058,0.529179,0.071777,-0.587028,-0.852692
821,7,20.741828,2.534576,0.649581,0.135585,-1.442134,0.885,-0.333111,-0.17997,-0.585648,1.033913,0.95391,1.46274,1.194002,-0.340804,-0.591589,-2.559882,-1.401925,-0.418871,0.825263,0.511933,0.621904,-0.419897
822,7,15.521983,2.160116,1.511314,2.513553,1.870754,0.789696,0.194328,-0.41147,-1.129293,-0.031728,-0.668124,0.56017,-0.6365,0.250551,-0.51314,0.04533,-0.33101,-0.611613,-1.510572,-0.838408,-0.897139,-0.156698
853,5,21.724009,1.123574,-1.178642,1.133277,3.225719,-2.186865,-0.229256,0.736364,-0.143959,-0.133084,0.519858,0.456015,-0.41859,-0.42868,-0.310076,-0.255101,0.079707,0.281259,-0.277477,-0.470356,-0.34749,-0.052625
891,3,21.27044,2.436539,2.180601,0.475506,0.602559,2.04352,-1.982987,-0.973985,-0.455418,-0.970576,0.034952,-1.524233,-0.016984,0.045141,-0.600934,-0.340626,-0.206173,-0.086047,0.330032,0.524532,1.087989,-0.166867
894,3,23.093544,2.349006,-2.05482,1.577296,-0.183156,-1.174176,-0.106986,-0.235006,0.511598,0.303049,1.49838,1.005162,0.200889,0.383156,-0.512129,-1.11745,1.193698,0.588053,-0.694956,0.914553,-0.269276,-1.827878
895,3,14.807856,0.758314,0.923872,2.416024,2.871968,0.818593,0.095289,-0.336149,-0.281926,-0.909722,0.025387,-0.514844,-1.001317,-0.445993,-0.095922,-0.611634,-0.532668,-0.528498,-0.511241,-0.525758,-0.576975,-0.278486
897,6,24.089488,1.421903,-3.826343,1.044609,-0.391713,0.01619,-0.083781,1.147187,1.331402,0.508781,0.031867,-0.472681,-0.081015,0.239916,-0.040401,-0.041417,-0.222308,0.242487,0.227091,-0.188399,0.037951,0.520577
898,6,21.202558,2.725204,0.598875,1.906764,-1.336565,1.845633,-0.743343,0.228838,0.387265,0.707111,-0.905029,-0.586104,0.004578,0.236111,-0.048092,0.115662,0.823657,0.084939,-1.016961,-2.330308,-0.752459,0.779429
997,6,12.151253,4.046129,-0.200668,1.526513,1.787225,0.551454,1.946888,-2.099904,-0.108606,-0.290187,-1.403247,-0.60154,-0.72821,-1.050942,0.497964,-0.534942,0.475342,-0.50218,0.465412,0.624031,-0.484147,0.129743
1087,8,17.320482,2.549802,0.955273,2.290806,0.310256,2.234489,-1.742835,-0.596361,0.958126,0.408444,-0.432476,-1.191096,-0.545176,0.22709,0.211162,-0.967127,-0.266562,-0.013679,-0.022273,-0.902221,-0.586244,-0.329597
1093,6,18.619704,2.372877,2.284152,0.740104,2.785541,0.363146,-0.568796,0.178643,-1.626543,0.1316,-0.089983,0.048167,-1.132737,-0.253294,0.205455,-0.342043,0.115782,-0.391835,-0.889587,-0.355346,-0.578654,-0.623771
1095,6,20.417597,2.953532,-3.150861,2.685711,-0.836891,-0.030662,0.262607,-0.327086,-0.782078,0.321977,-0.032596,-0.241086,-0.192156,-0.055005,0.166279,-0.02548,0.070312,0.47155,0.072124,0.630312,0.58641,0.406618
